iter	RMSE
0	14.72101881
1	14.36580624
2	13.99310302
3	13.64503261
4	13.32512524
5	13.00829596
6	12.7064689
7	12.41728771
8	12.13180499
9	11.84067174
10	11.56743411
11	11.30049606
12	11.08059984
13	10.84654447
14	10.60709012
15	10.36675715
16	10.15072211
17	9.947059189
18	9.74108626
19	9.548951994
20	9.397281531
21	9.2247642
22	9.043425465
23	8.882076208
24	8.736715941
25	8.603270379
26	8.45647297
27	8.322664112
28	8.185578799
29	8.063297433
30	7.944715337
31	7.836060916
32	7.734785494
33	7.633721405
34	7.533784914
35	7.434774866
36	7.342581632
37	7.255092422
38	7.170871233
39	7.093439028
40	7.031940498
41	6.970931122
42	6.894338534
43	6.834396944
44	6.769116755
45	6.709374095
46	6.644891144
47	6.594806801
48	6.537739193
49	6.487637559
50	6.441853546
51	6.395190871
52	6.347562129
53	6.300231219
54	6.255343
55	6.213046082
56	6.171763957
57	6.132784151
58	6.098002768
59	6.065350259
60	6.032008054
61	5.997502972
62	5.956535595
63	5.923561095
64	5.895415924
65	5.868233251
66	5.840129442
67	5.814024278
68	5.795517578
69	5.769231352
70	5.746158367
71	5.719503729
72	5.698491531
73	5.676341531
74	5.658317878
75	5.635460584
76	5.61813502
77	5.600033655
78	5.584294142
79	5.564789285
80	5.549699919
81	5.537361265
82	5.52336322
83	5.507263831
84	5.488663215
85	5.47590286
86	5.460538791
87	5.448167242
88	5.432388376
89	5.420894387
90	5.4067178
91	5.398479002
92	5.386730016
93	5.37601199
94	5.366134842
95	5.356791025
96	5.347741533
97	5.339725529
98	5.330673585
99	5.321033053
100	5.309820333
101	5.302088867
102	5.292965191
103	5.282108699
104	5.274788494
105	5.263519415
106	5.253792819
107	5.24764753
108	5.23997294
109	5.230644734
110	5.225344148
111	5.21996562
112	5.212943661
113	5.20235247
114	5.19584994
115	5.188346725
116	5.181572042
117	5.176121663
118	5.16874859
119	5.164844849
120	5.162303244
121	5.156455999
122	5.150266735
123	5.144009474
124	5.138970849
125	5.132579373
126	5.127592828
127	5.122033117
128	5.118609259
129	5.110349694
130	5.106367116
131	5.103090426
132	5.093593134
133	5.085724477
134	5.082282729
135	5.076255064
136	5.071533072
137	5.067257608
138	5.060592161
139	5.056544655
140	5.052882117
141	5.047597624
142	5.043057383
143	5.037323292
144	5.032325709
145	5.026199167
146	5.018842032
147	5.014622028
148	5.009787991
149	5.00560547
150	5.00218848
151	4.999756175
152	4.996448142
153	4.9902645
154	4.984665634
155	4.98091231
156	4.974687228
157	4.970842353
158	4.965290946
159	4.959052862
160	4.955345908
161	4.951448886
162	4.946339845
163	4.941260875
164	4.935192163
165	4.928818695
166	4.923813666
167	4.918675301
168	4.914916091
169	4.909930615
170	4.903964529
171	4.898593683
172	4.89266962
173	4.889121957
174	4.881618332
175	4.878394771
176	4.869015159
177	4.864026402
178	4.859360481
179	4.855008896
180	4.850733399
181	4.846777072
182	4.840506313
183	4.836405301
184	4.833179881
185	4.830388939
186	4.827418234
187	4.822574736
188	4.820775247
189	4.817890033
190	4.812916905
191	4.809094427
192	4.80479736
193	4.80169492
194	4.799548165
195	4.79342492
196	4.787773114
197	4.782349038
198	4.779347827
199	4.776232224
200	4.771564802
201	4.76584746
202	4.760191275
203	4.755866653
204	4.753232658
205	4.750087529
206	4.748102321
207	4.743202967
208	4.741850498
209	4.737736896
210	4.736091751
211	4.732969922
212	4.728395011
213	4.725584994
214	4.720484263
215	4.717053308
216	4.715041645
217	4.712397514
218	4.709284037
219	4.707717328
220	4.704457515
221	4.702355316
222	4.694563866
223	4.690555017
224	4.688015248
225	4.681509659
226	4.679982895
227	4.672370683
228	4.667443134
229	4.664552558
230	4.66095823
231	4.658676736
232	4.654149182
233	4.652083865
234	4.648049935
235	4.64520793
236	4.643198648
237	4.640709877
238	4.637791037
239	4.634585105
240	4.63284022
241	4.627357826
242	4.623031678
243	4.619656549
244	4.617134055
245	4.615052461
246	4.613406071
247	4.607641916
248	4.606168231
249	4.599770462
250	4.592485863
251	4.587422318
252	4.582731569
253	4.580747755
254	4.572852662
255	4.569025548
256	4.567881645
257	4.566411036
258	4.564029178
259	4.559344584
260	4.555417592
261	4.549774418
262	4.548286009
263	4.543681931
264	4.541100006
265	4.538600919
266	4.53380305
267	4.532183255
268	4.530235733
269	4.524780353
270	4.519517055
271	4.517817728
272	4.516331684
273	4.5126247
274	4.507430376
275	4.504857463
276	4.502362333
277	4.4960348
278	4.494020968
279	4.489388922
280	4.486967095
281	4.481984171
282	4.477209052
283	4.472788968
284	4.469091084
285	4.46699876
286	4.461726551
287	4.460297382
288	4.455788678
289	4.454123466
290	4.448335422
291	4.445502627
292	4.440002562
293	4.438915515
294	4.437165194
295	4.430517951
296	4.425849928
297	4.424602956
298	4.418333537
299	4.416323946
300	4.41268171
301	4.408440438
302	4.404384378
303	4.398471375
304	4.393780078
305	4.391799387
306	4.389740649
307	4.385337695
308	4.382302662
309	4.381017283
310	4.375659559
311	4.372437532
312	4.370888618
313	4.366725131
314	4.362775186
315	4.360944919
316	4.359343847
317	4.358575538
318	4.354132103
319	4.349380532
320	4.345072362
321	4.339723669
322	4.337076379
323	4.334826786
324	4.330503598
325	4.329847199
326	4.326626066
327	4.325362278
328	4.320274233
329	4.314991883
330	4.313837141
331	4.307297344
332	4.302400133
333	4.298650627
334	4.296344026
335	4.295025629
336	4.293362706
337	4.288820155
338	4.283973927
339	4.282558591
340	4.280842344
341	4.278345457
342	4.272982878
343	4.267450732
344	4.26504166
345	4.263441965
346	4.259340723
347	4.256117737
348	4.255045102
349	4.252782999
350	4.250438773
351	4.247929826
352	4.245101284
353	4.240935673
354	4.237876586
355	4.236032353
356	4.235157572
357	4.227915571
358	4.223351319
359	4.218958811
360	4.214712426
361	4.211254577
362	4.208063078
363	4.203804427
364	4.20309961
365	4.201188536
366	4.199550585
367	4.197433076
368	4.195123393
369	4.194085813
370	4.191635475
371	4.18682285
372	4.180828094
373	4.176923534
374	4.175763163
375	4.17153772
376	4.170462806
377	4.167254721
378	4.16348073
379	4.15714268
380	4.154194731
381	4.150572978
382	4.147065468
383	4.143825088
384	4.138245427
385	4.132702478
386	4.128348694
387	4.12677999
388	4.126212257
389	4.124131405
390	4.119308663
391	4.117676641
392	4.112324035
393	4.110137597
394	4.10786832
395	4.104844404
396	4.103920261
397	4.097410303
398	4.092490231
399	4.089328736
400	4.084323136
401	4.080571225
402	4.078579158
403	4.077093223
404	4.072054065
405	4.070125269
406	4.068413955
407	4.066948486
408	4.064542711
409	4.060038856
410	4.057509138
411	4.052929523
412	4.050051632
413	4.048757837
414	4.047161924
415	4.042337379
416	4.037420854
417	4.034245632
418	4.028466018
419	4.022828285
420	4.020732093
421	4.016703249
422	4.012008317
423	4.007406262
424	4.004349513
425	4.003267566
426	4.001845635
427	4.000522048
428	3.996610817
429	3.99408674
430	3.989564274
431	3.986048726
432	3.984771012
433	3.980728264
434	3.980658427
435	3.977489327
436	3.976601083
437	3.974921684
438	3.973953204
439	3.972455578
440	3.971924247
441	3.968959599
442	3.967661691
443	3.964506777
444	3.963648636
445	3.960786537
446	3.959368831
447	3.95798632
448	3.95533455
449	3.952437914
450	3.950498001
451	3.949069369
452	3.947622419
453	3.942577997
454	3.938629055
455	3.935895413
456	3.932874898
457	3.931115899
458	3.926700738
459	3.926065612
460	3.925071251
461	3.924668979
462	3.920093964
463	3.915557868
464	3.913732137
465	3.908930979
466	3.90613819
467	3.901414843
468	3.897260254
469	3.89595613
470	3.892011763
471	3.888250918
472	3.887005455
473	3.885459959
474	3.883449593
475	3.878598653
476	3.877718417
477	3.875792483
478	3.872030455
479	3.86878123
480	3.865326366
481	3.86216633
482	3.86063558
483	3.858220672
484	3.855159485
485	3.851613137
486	3.850808825
487	3.848467685
488	3.848011944
489	3.842917715
490	3.84064545
491	3.835978722
492	3.832971933
493	3.829836936
494	3.825641485
495	3.824196579
496	3.821411954
497	3.820081417
498	3.818007413
499	3.813707174
500	3.810767764
501	3.807670821
502	3.806374819
503	3.805622944
504	3.800089689
505	3.795742021
506	3.793100992
507	3.791445904
508	3.790973759
509	3.788247348
510	3.784972426
511	3.78044433
512	3.775912212
513	3.772895727
514	3.770168103
515	3.768663101
516	3.763680282
517	3.761523991
518	3.760895367
519	3.759996068
520	3.759014861
521	3.75650956
522	3.753100024
523	3.749810461
524	3.748820821
525	3.744856641
526	3.743798321
527	3.742962115
528	3.739824493
529	3.736111291
530	3.733796138
531	3.73062639
532	3.729601051
533	3.727239425
534	3.723869552
535	3.720983497
536	3.719541501
537	3.717681188
538	3.714019518
539	3.710505739
540	3.707420012
541	3.703580968
542	3.701624757
543	3.700562363
544	3.697274404
545	3.692868582
546	3.689393847
547	3.688483541
548	3.68350756
549	3.682663699
550	3.682056921
551	3.681321199
552	3.677482148
553	3.676002878
554	3.671859688
555	3.670223367
556	3.666380191
557	3.664149165
558	3.663786167
559	3.660328727
